2023-12-04 01:12:42 INFO  ManageBrowser :31 - launching chrome browser
2023-12-04 01:12:112 INFO  HomePage :35 - Clicking on register link : [[ChromeDriver: chrome on windows (d2ec09ccdf21768e48fbe09444ca2a83)] -> link text: Register]
2023-12-04 01:12:758 INFO  RegisterPage :55 - Entering firstname : [[ChromeDriver: chrome on windows (d2ec09ccdf21768e48fbe09444ca2a83)] -> id: FirstName]
2023-12-04 01:12:840 INFO  RegisterPage :60 - Entering lastname to filed : [[ChromeDriver: chrome on windows (d2ec09ccdf21768e48fbe09444ca2a83)] -> id: LastName]
2023-12-04 01:12:930 INFO  RegisterPage :65 - Entering an email to email field : [[ChromeDriver: chrome on windows (d2ec09ccdf21768e48fbe09444ca2a83)] -> id: Email]
2023-12-04 01:12:652 INFO  RegisterPage :81 - Registration successful message : [[ChromeDriver: chrome on windows (d2ec09ccdf21768e48fbe09444ca2a83)] -> xpath: //div[@class='result']]
2023-12-04 01:12:440 INFO  ManageBrowser :31 - launching chrome browser
2023-12-04 01:12:647 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on windows (dd18ea36ec69a05c29625e5bedc651b6)] -> link text: Log in]
2023-12-04 01:12:46 INFO  LoginPage :34 - Getting text from : [[ChromeDriver: chrome on windows (dd18ea36ec69a05c29625e5bedc651b6)] -> xpath: //div[@class='page-title']/h1]
2023-12-04 01:12:147 INFO  RegisterPage :65 - Entering an email to email field : [[ChromeDriver: chrome on windows (dd18ea36ec69a05c29625e5bedc651b6)] -> id: Email]
2023-12-04 01:12:165 INFO  LoginPage :43 - Entering an password : [[ChromeDriver: chrome on windows (dd18ea36ec69a05c29625e5bedc651b6)] -> id: Password]
2023-12-04 01:12:238 INFO  LoginPage :48 - Clicking on login button : [[ChromeDriver: chrome on windows (dd18ea36ec69a05c29625e5bedc651b6)] -> xpath: //button[@class='button-1 login-button']]
2023-12-04 01:12:499 INFO  ManageBrowser :31 - launching chrome browser
2023-12-04 01:12:685 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on windows (ce3dd6333cfa382851e00fd48d0749a7)] -> link text: Log in]
2023-12-04 01:12:480 INFO  LoginPage :34 - Getting text from : [[ChromeDriver: chrome on windows (ce3dd6333cfa382851e00fd48d0749a7)] -> xpath: //div[@class='page-title']/h1]
2023-12-04 01:12:515 INFO  LoginPage :53 - Entering an invalid email : [[ChromeDriver: chrome on windows (ce3dd6333cfa382851e00fd48d0749a7)] -> id: Email]
2023-12-04 01:12:626 INFO  LoginPage :58 - Entering password : [[ChromeDriver: chrome on windows (ce3dd6333cfa382851e00fd48d0749a7)] -> id: Password]
2023-12-04 01:12:685 INFO  LoginPage :48 - Clicking on login button : [[ChromeDriver: chrome on windows (ce3dd6333cfa382851e00fd48d0749a7)] -> xpath: //button[@class='button-1 login-button']]
2023-12-04 01:12:494 INFO  ManageBrowser :31 - launching chrome browser
2023-12-04 01:12:440 INFO  ProductPage :38 - Getting title of page : [[ChromeDriver: chrome on windows (ca36d0d2baaca8a2bcd0c8cca73ba850)] -> xpath: //div[@class='page-title']/h1]
